#,case,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,Cooling,Lighting,Cooling+Lighting,Equipment,Total
26803,26804,80,0.997238212,0.565064539,0.733552993,0.275010382,0.321194977,1.870185485,0.361100278,0.503378567,0.400606693,0.343033791,0.52006164,67481.76593,14844.53124,82326.29717,51617.8656,133944.1628
44305,44306,220,0.902925444,0.423107646,0.585165778,0.339569731,0.171364103,1.345107156,0.612245833,0.306033248,0.343742659,0.447723278,0.480510063,65699.99307,15445.2564,81145.24947,51617.8656,132763.1151
47522,47523,350,0.705814093,0.773682175,0.767464128,0.345677382,0.161183345,1.727817766,0.280835994,0.510864507,0.424420318,0.495177251,0.449967074,64287.15469,15024.44664,79311.60133,51617.8656,130929.4669
32207,32208,0,0.953342058,0.689099086,0.590906366,0.42665205,0.498673049,1.60734887,0.454826459,0.429163532,0.433178217,0.462381499,0.568725605,72587.85567,13453.55172,86041.40739,51617.8656,137659.273
2530,2531,220,0.448880326,0.55796724,0.443805553,0.463122947,0.437183296,1.866988191,0.499957185,0.598891824,0.304683806,0.432216112,0.567458749,73308.45467,13756.52376,87064.97843,51617.8656,138682.844
17746,17747,190,1.151631644,0.725022794,0.962131208,0.324348508,0.343235625,1.361220361,0.342389395,0.660128439,0.481877659,0.441250028,0.698484274,67644.47023,12404.27412,80048.74435,51617.8656,131666.61
8270,8271,150,0.906585011,0.790962202,0.930389096,0.35834907,0.333585045,2.845066147,0.397955887,0.492373377,0.608377739,0.494012991,0.638269952,68178.11897,11827.44612,80005.56509,51617.8656,131623.4307
15079,15080,150,0.579378822,0.74172664,0.593316746,0.211963693,0.290044099,2.583501457,0.297285628,0.405452278,0.56495977,0.534556224,0.596894249,65249.04699,12461.40756,77710.45455,51617.8656,129328.3202
13624,13625,130,1.093437665,0.628723822,0.962532897,0.428544772,0.480392823,2.981044524,0.542486386,0.537530163,0.44911905,0.42760648,0.705408518,72562.8587,11970.27972,84533.13842,51617.8656,136151.004
30638,30639,230,0.49506162,0.638330299,0.905893049,0.259570483,0.443521117,2.215203024,0.33830862,0.508353902,0.472852053,0.421835876,0.661171724,69340.58653,12589.13376,81929.72029,51617.8656,133547.5859
30440,30441,200,0.587845106,0.420386944,1.121078109,0.273902023,0.168067298,2.756092237,0.459516527,0.269261681,0.584330015,0.480825491,0.484172959,61558.93919,13754.87568,75313.81487,51617.8656,126931.6805
